station,t,rho_km,rho_dot_km_s,elev_rad
Station 2,0.0,4281.990138131059,-1.8725898946107402,0.8430926972540939
Station 2,10.0,4263.468490431474,-1.8317638853940021,0.8523940008604892
Station 2,20.0,4245.359133983228,-1.7903392556267632,0.8616465622027525
Station 2,30.0,4227.664230330587,-1.7483231575244678,0.8708430917082772
Station 2,40.0,4210.394254712678,-1.705721068062929,0.8799758978926081
Station 2,50.0,4193.552175906116,-1.6625300411068482,0.8890368752354193
Station 2,60.0,4177.143997252713,-1.6187656581780547,0.898017493015272
Station 2,70.0,4161.178724469319,-1.5744292198200982,0.9069087853860434
Station 2,80.0,4145.657603505322,-1.5295308835488912,0.915701343019297
Station 2,90.0,4130.589123145545,-1.4840733215242035,0.9243853066812748
Station 2,100.0,4115.978371657114,-1.4380710514990545,0.9329503631586152
Station 2,110.0,4101.828305678356,-1.3915294414299877,0.9413857440028156
Station 2,120.0,4088.1506349122487,-1.34445926363708,0.9496802275957209
Station 2,130.0,4074.9416560513837,-1.2968777938175131,0.9578221451002933
Station 2,140.0,4062.214589831052,-1.2487893515761879,0.9657993909010802
Station 2,150.0,4049.968348749247,-1.2002068935512797,0.9735994381715526
Station 2,160.0,4038.21257997203,-1.1511475085896221,0.9812093602341893
Station 2,170.0,4026.9461502555496,-1.101623556013015,0.9886158583919189
Station 2,180.0,4016.1797557632776,-1.051649543874458,0.9958052969036203
Station 2,190.0,4005.915572410875,-1.0012453471454619,1.002763745746828
Station 2,200.0,3996.154357538655,-0.950420735441395,1.0094770317522614
Station 2,210.0,3986.9089714849015,-0.8991991132097049,1.0159307986019828
Station 2,220.0,3978.175420904552,-0.8475940829912356,1.0221105760510725
Station 2,230.0,3969.9586248871137,-0.7956241376477826,1.0280018585577932
Station 2,240.0,3962.263290777749,-0.7433114517817901,1.0335901932869838
Station 2,250.0,3955.0921865657297,-0.6906765498440458,1.038861277185873
Station 2,260.0,3948.4513061872694,-0.6377378206306786,1.0438010625235687
Station 2,270.0,3942.3396129326184,-0.5845164547575635,1.048395869941792
Station 2,280.0,3936.7609820497823,-0.5310336513368323,1.052632507695677
Station 2,290.0,3931.718674032393,-0.47731327621985453,1.0564983953846847
Station 2,300.0,3927.214683709458,-0.4233769942646298,1.0599816901040509
Station 2,310.0,3923.2505274770388,-0.3692506132557635,1.0630714126091914
Station 2,320.0,3919.8318368226355,-0.31495481961455646,1.06575757080391
Station 2,330.0,3916.9509997527166,-0.26051342184857507,1.0680312776629841
Station 2,340.0,3914.620398317168,-0.20595210641613054,1.0698848606040121
Station 2,350.0,3912.8346488676452,-0.15129309288581666,1.0713119593508826
Station 2,360.0,3911.596018144661,-0.09656307604885044,1.0723076094938753
Station 2,370.0,3910.9051426262017,-0.04178562738608969,1.072868309252252
Station 2,380.0,3910.760488645821,0.013012597014523163,1.072992067377079
Station 2,390.0,3911.1633034030797,0.06780713441981338,1.0726784306773798
Station 2,400.0,3912.1162521758797,0.12257239069207308,1.071928490284306
Station 2,410.0,3913.61361640644,0.17728670899207138,1.0707448664508987
Station 2,420.0,3915.6624339630075,0.2319239448654653,1.069131672379769
Station 2,430.0,3918.2528461550246,0.2864577105705908,1.0670944582370243
Station 2,440.0,3921.3890558028274,0.34086607505283206,1.064640137109969
Station 2,450.0,3925.0691591119275,0.3951207703562213,1.0617768951666213
Station 2,460.0,3929.291520800525,0.449204605324497,1.0585140886385815
Station 2,470.0,3934.052826276273,0.5030887219700638,1.0548621305449222
Station 2,480.0,3939.354904070354,0.5567519264179214,1.0508323701196438
Station 2,490.0,3945.186726505058,0.6101720840435672,1.0464369678821248
Station 2,500.0,3951.5551971024115,0.6633248479734216,1.0416887691934678
Station 2,510.0,3958.453037212816,0.7161936181466012,1.0366011788695777
Station 2,520.0,3965.878029728282,0.7687518088788164,1.031188039121903
Station 2,530.0,3973.827012491047,0.820982273200182,1.0254635127427107
Station 2,540.0,3982.2960095857097,0.8728643251633998,1.0194419730758215
Station 2,550.0,3991.282440565071,0.9243811866571868,1.0131379019371514
Station 2,560.0,4000.7819262607345,0.975508401009783,1.0065657962897
Station 2,570.0,4010.7903483738783,1.026233513195255,0.9997400841479454
Station 2,580.0,4021.306263130648,1.076539357231498,0.9926750498959612
Station 2,590.0,4032.322115859158,1.1264064562286196,0.9853847689569204
Station 2,600.0,4043.832100949984,1.1758218080078464,0.977883051550606
Station 2,610.0,4055.835428279372,1.2247680325978407,0.9701833951190991
Station 2,620.0,4068.326102640444,1.2732361383974011,0.9622989448858584
Station 2,630.0,4081.2986035911554,1.3212092946531477,0.9542424619355979
Station 2,640.0,4094.7474817618863,1.368676921819174,0.9460262981566385
Station 2,650.0,4108.672221625722,1.4156259543369556,0.937662377368392
Station 2,660.0,4123.060082727908,1.4620446504426103,0.9291621819591159
Station 2,670.0,4137.909227893592,1.5079253956856604,0.9205367443781663
Station 2,680.0,4153.216604873301,1.5532579755731588,0.9117966428582878
Station 2,690.0,4168.972784603941,1.59803316263401,0.9029520007832619
Station 2,700.0,4185.174868040526,1.6422427189696858,0.8940124891613471
Station 2,710.0,4201.816562053715,1.6858846276250945,0.8849873317127344
Station 2,720.0,4218.891785710334,1.7289455691196387,0.8758853121278328
Station 2,730.0,4236.394698767569,1.7714247417293418,0.8667147831009311
Station 2,740.0,4254.319085317025,1.81331743979991,0.8574836767896176
Station 2,750.0,4272.657289337662,1.8546148815801178,0.8481995163935505
Station 2,760.0,4291.407210674195,1.8953198880086388,0.8388694285861388
Station 2,770.0,4310.56202687914,1.935423908272531,0.829500156569362
Station 2,780.0,4330.114321016216,1.974928586346279,0.8200980735550468
Station 2,790.0,4350.057757092546,2.0138303967650497,0.8106691965056104
Station 2,800.0,4370.388174160332,2.0521298970021067,0.8012191999936392
Station 2,810.0,4391.099879724035,2.089824088126761,0.7917534300628867
Station 2,820.0,4412.184910147025,2.126915211513038,0.782276917985899
Station 2,830.0,4433.635138266548,2.1634037783397635,0.7727943938339448
Station 2,840.0,4455.448680306714,2.1992889250900656,0.7633102998643858
Station 2,850.0,4477.618860789181,2.234572451600459,0.7538288035656647
Station 2,860.0,4500.137819849224,2.269259861211502,0.7443538103848183
Station 2,870.0,4523.002091941446,2.3033494362003832,0.7348889760963442
Station 2,880.0,4546.204265771992,2.3368471922541123,0.7254377187883398
Station 2,890.0,4569.737248268515,2.36975285944601,0.7160032304504359
Station 2,900.0,4593.598170350519,2.4020718678237762,0.706588488153741
Station 2,910.0,4617.7769612149805,2.433807401619216,0.697196264817654
Station 2,920.0,4642.271622481882,2.4649643309597153,0.687829139562328
Station 2,930.0,4667.074010741393,2.4955451258093237,0.6784895076486896
Station 2,940.0,4692.181456304153,2.525557355949643,0.6691795900104983
Station 2,950.0,4717.582186169761,2.5550034276465223,0.6599014423849847
Station 2,960.0,4743.278033461644,2.5838895472659615,0.6506569640502298
Station 2,970.0,4769.258178842627,2.6122194274820068,0.641447906178701
Station 2,980.0,4795.521761846334,2.6400042293718378,0.6322758798173274
Station 2,990.0,4822.058473275138,2.667243725082273,0.623142363505201
Station 2,1000.0,4848.863493473192,2.69394475987673,0.6140487105404647
Station 2,1010.0,4875.936406392563,2.72011460583881,0.6049961559083014
Station 2,1020.0,4903.264257244931,2.7457595209053833,0.5959858228820755
Station 2,1030.0,4930.846820759175,2.7708831191646808,0.5870187293097672
Station 2,1040.0,4958.680254975604,2.7954973786965414,0.5780957935977763
Station 2,1050.0,4986.756813374985,2.8196030718423692,0.5692178404040781
Station 2,1060.0,5015.070688451978,2.843210989826194,0.5603856060525207
Station 2,1070.0,5043.62124246868,2.8663197890743852,0.5515997436798471
Station 2,1080.0,5072.396568997329,2.888944843483915,0.542860828126734
Station 2,1090.0,5101.3980281195945,2.9110938316564794,0.5341693605838819
Station 2,1100.0,5130.617342910975,2.932764882690576,0.5255257730038554
Station 2,1110.0,5160.048305370313,2.9539672210889307,0.5169304322890487
Station 2,1120.0,5189.6933851838285,2.9747109078353127,0.5083836442658249
Station 2,1130.0,5219.539974382059,2.9950001226101883,0.49988565745451874
