Time(s),Delta_X(km),Delta_Y(km),Delta_Z(km),Delta_VX(km/s),Delta_VY(km/s),Delta_VZ(km/s)
0.0000,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e-03,0.0000000000e+00
10.0000,9.9998743261e-01,9.9823042838e-03,-8.7247835836e-06,-2.5132506050e-06,9.9646327260e-04,-1.7438019126e-06
20.0000,9.9994973948e-01,1.9929312342e-02,-3.4852893805e-05,-5.0251541950e-06,9.9294061234e-04,-3.4806609821e-06
30.0000,9.9988693396e-01,2.9841160560e-02,-7.8314791608e-05,-7.5357269651e-06,9.8943116135e-04,-5.2105566932e-06
40.0000,9.9979902937e-01,3.9717976751e-02,-1.3904078696e-04,-1.0044970481e-05,9.8593406457e-04,-6.9334804977e-06
50.0000,9.9968603903e-01,4.9559880197e-02,-2.1696116892e-04,-1.2552871703e-05,9.8244847007e-04,-8.6494357476e-06
60.0000,9.9954797650e-01,5.9366981662e-02,-3.1200632475e-04,-1.5059403032e-05,9.7897352932e-04,-1.0358437624e-05
70.0000,9.9938485567e-01,6.9139383479e-02,-4.2410683182e-04,-1.7564522343e-05,9.7550839753e-04,-1.2060513063e-05
80.0000,9.9919669094e-01,7.8877179525e-02,-5.5319361400e-04,-2.0068173038e-05,9.7205223394e-04,-1.3755700679e-05
90.0000,9.9898349733e-01,8.8580455280e-02,-6.9919804264e-04,-2.2570284092e-05,9.6860420212e-04,-1.5444050685e-05
100.0000,9.9874529067e-01,9.8249287887e-02,-8.6205204752e-04,-2.5070770104e-05,9.6516347028e-04,-1.7125624809e-05
110.0000,9.9848208770e-01,1.0788374621e-01,-1.0416882233e-03,-2.7569531350e-05,9.6172921156e-04,-1.8800496215e-05
120.0000,9.9819390621e-01,1.1748389089e-01,-1.2380399467e-03,-3.0066453849e-05,9.5830060434e-04,-2.0468749411e-05
130.0000,9.9788076520e-01,1.2704977437e-01,-1.4510414903e-03,-3.2561409418e-05,9.5487683254e-04,-2.2130480160e-05
140.0000,9.9754268503e-01,1.3658144099e-01,-1.6806281456e-03,-3.5054255738e-05,9.5145708588e-04,-2.3785795386e-05
150.0000,9.9717968758e-01,1.4607892694e-01,-1.9267363414e-03,-3.7544836437e-05,9.4804056022e-04,-2.5434813081e-05
160.0000,9.9679179636e-01,1.5554226040e-01,-2.1893037738e-03,-4.0032981149e-05,9.4462645783e-04,-2.7077662202e-05
170.0000,9.9637903670e-01,1.6497146151e-01,-2.4682695048e-03,-4.2518505604e-05,9.4121398767e-04,-2.8714482571e-05
180.0000,9.9594143568e-01,1.7436654289e-01,-2.7635738770e-03,-4.5001211673e-05,9.3780236570e-04,-3.0345424793e-05
190.0000,9.9547902258e-01,1.8372750904e-01,-3.0751589566e-03,-4.7480887491e-05,9.3439081514e-04,-3.1970650121e-05
200.0000,9.9499182879e-01,1.9305435686e-01,-3.4029683993e-03,-4.9957307525e-05,9.3097856679e-04,-3.3590330362e-05
210.0000,9.9447988805e-01,2.0234707555e-01,-3.7469476620e-03,-5.2430232667e-05,9.2756485926e-04,-3.5204647768e-05
220.0000,9.9394323659e-01,2.1160564672e-01,-4.1070440866e-03,-5.4899410327e-05,9.2414893930e-04,-3.6813794916e-05
230.0000,9.9338191322e-01,2.2083004449e-01,-4.4832069925e-03,-5.7364574529e-05,9.2073006204e-04,-3.8417974599e-05
240.0000,9.9279595945e-01,2.3002023559e-01,-4.8753877672e-03,-5.9825446008e-05,9.1730749129e-04,-4.0017399709e-05
