Time(s),Delta_X(km),Delta_Y(km),Delta_Z(km),Delta_VX(km/s),Delta_VY(km/s),Delta_VZ(km/s)
0.0000,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e-02,0.0000000000e+00
10.0000,9.9998690128e-01,9.9982967370e-02,-8.0985900457e-06,-2.6731227912e-06,9.9966617855e-03,-1.5557888644e-06
20.0000,9.9994546124e-01,1.9993458008e-01,-2.9832934582e-05,-5.6691310954e-06,9.9937268791e-03,-2.7267301020e-06
30.0000,9.9987242529e-01,2.9985880546e-01,-6.1342192746e-05,-8.9931445860e-06,9.9911821242e-03,-3.5103767244e-06
40.0000,9.9976448850e-01,3.9975947903e-01,-9.8741831767e-05,-1.2650107721e-05,9.9890143088e-03,-3.9044373433e-06
50.0000,9.9961829738e-01,4.9964030390e-01,-1.3812518293e-04,-1.6644789108e-05,9.9872101696e-03,-3.9067761852e-06
60.0000,9.9943045166e-01,5.9950485031e-01,-1.7556499823e-04,-2.0981780912e-05,9.9857563951e-03,-3.5154130742e-06
70.0000,9.9919750599e-01,6.9935655517e-01,-2.0711500523e-04,-2.5665498299e-05,9.9846396293e-03,-2.7285233831e-06
80.0000,9.9891597180e-01,7.9919872161e-01,-2.2881146247e-04,-3.0700178911e-05,9.9838464756e-03,-1.5444379524e-06
90.0000,9.9858231899e-01,8.9903451861e-01,-2.3667471417e-04,-3.6089882393e-05,9.9833634996e-03,3.8357022791e-08
100.0000,9.9819297778e-01,9.9886698063e-01,-2.2671074314e-04,-4.1838489943e-05,9.9831772330e-03,2.0212201370e-06
110.0000,9.9774434048e-01,1.0986990073e+00,-1.9491272167e-04,-4.7949703911e-05,9.9832741773e-03,4.4053549513e-06
120.0000,9.9723276325e-01,1.1985333631e+00,-1.3726256044e-04,-5.4427047433e-05,9.9836408072e-03,7.1918102011e-06
130.0000,9.9665456794e-01,1.2983726772e+00,-4.9732455204e-05,-6.1273864096e-05,9.9842635738e-03,1.0381480036e-05
140.0000,9.9600604383e-01,1.3982194432e+00,7.1713568638e-05,-6.8493317654e-05,9.9851289086e-03,1.3975104291e-05
150.0000,9.9528344950e-01,1.4980760187e+00,2.3111811389e-04,-7.6088391773e-05,9.9862232269e-03,1.7973268789e-05
160.0000,9.9448301456e-01,1.5979446257e+00,4.3252887178e-04,-8.4061889816e-05,9.9875329311e-03,2.2376405675e-05
170.0000,9.9360094152e-01,1.6978273499e+00,6.7999708506e-04,-9.2416434667e-05,9.9890444145e-03,2.7184793780e-05
180.0000,9.9263340755e-01,1.7977261412e+00,9.7757602288e-04,-1.0115446859e-04,9.9907440645e-03,3.2398559018e-05
190.0000,9.9157656629e-01,1.8976428130e+00,1.3293194510e-03,-1.1027825314e-04,9.9926182666e-03,3.8017674815e-05
200.0000,9.9042654969e-01,1.9975790430e+00,1.7392801091e-03,-1.1978986909e-04,9.9946534073e-03,4.4041962563e-05
210.0000,9.8917946979e-01,2.0975363723e+00,2.2115081925e-03,-1.2969121639e-04,9.9968358781e-03,5.0471092114e-05
220.0000,9.8783142051e-01,2.1975162063e+00,2.7500498390e-03,-1.3998401424e-04,9.9991520788e-03,5.7304582295e-05
230.0000,9.8637847951e-01,2.2975198143e+00,3.3589456210e-03,-1.5066980106e-04,1.0001588421e-02,6.4541801459e-05
240.0000,9.8481670998e-01,2.3975483299e+00,4.0422290444e-03,-1.6174993466e-04,1.0004131331e-02,7.2181968067e-05
250.0000,9.8314216239e-01,2.4976027510e+00,4.8039250527e-03,-1.7322559230e-04,1.0006767255e-02,8.0224151299e-05
260.0000,9.8135087638e-01,2.5976839400e+00,5.6480485386e-03,-1.8509777091e-04,1.0009482660e-02,8.8667271690e-05
