Time(s),Range(km),Range_Rate(km/s),Station_ID
0.0,4281.99271016863986,-1.87259039421707,2
10.0,4263.46798845116609,-1.83176209860458,2
20.0,4245.35860579526161,-1.79033960903471,2
30.0,4227.66292858089764,-1.74832297417328,2
40.0,4210.39351277151218,-1.70571891671370,2
50.0,4193.55340311373402,-1.66253122795460,2
60.0,4177.14555786936762,-1.61876599295721,2
70.0,4161.17896231179930,-1.57442977969808,2
80.0,4145.65911852491899,-1.52952952009265,2
90.0,4130.58862677972320,-1.48407322886400,2
100.0,4115.97912497333891,-1.43807015395016,2
110.0,4101.82952390098944,-1.39152935897320,2
120.0,4088.14856828039547,-1.34446176500673,2
130.0,4074.94269079876130,-1.29687472893307,2
140.0,4062.21444838353136,-1.24878603058648,2
150.0,4049.96723465598689,-1.20020631660417,2
160.0,4038.21197875567577,-1.15114750914516,2
170.0,4026.94481745932262,-1.10162428120893,2
180.0,4016.17990997563311,-1.05165049243773,2
190.0,4005.91423418810336,-1.00124343918595,2
200.0,3996.15926188203412,-0.95041920297980,2
210.0,3986.90929494586544,-0.89919678004455,2
220.0,3978.17483516725497,-0.84759217228985,2
230.0,3969.95698928525826,-0.79562405387272,2
240.0,3962.26086940719006,-0.74331140271968,2
250.0,3955.09388299898592,-0.69067473765118,2
260.0,3948.44910012713535,-0.63773525058950,2
270.0,3942.33754324423853,-0.58451374045227,2
280.0,3936.76146439595277,-0.53103216173345,2
290.0,3931.71854189494525,-0.47731250550064,2
300.0,3927.21452280308358,-0.42337563039803,2
310.0,3923.25244626094900,-0.36924942940867,2
320.0,3919.83107905282895,-0.31495083889324,2
330.0,3916.95489423436538,-0.26050872944918,2
340.0,3914.61955794571440,-0.20595041546687,2
350.0,3912.83446718345340,-0.15128998708562,2
360.0,3911.59355517197810,-0.09656418956775,2
370.0,3910.90454415795148,-0.04178534799840,2
380.0,3910.75966315499818,0.01301147992552,2
390.0,3911.16427943141071,0.06780834736410,2
400.0,3912.11561576937720,0.12257749493333,2
410.0,3913.61499125909450,0.17728812342009,2
420.0,3915.66176340927359,0.23192593207897,2
430.0,3918.25245905750353,0.28645793883516,2
440.0,3921.38931898220380,0.34086683134150,2
450.0,3925.07127212165733,0.39512480240183,2
460.0,3929.29181940788521,0.44920573381989,2
470.0,3934.05421435758672,0.50309138022941,2
480.0,3939.35447680741117,0.55675513585892,2
490.0,3945.18752372610152,0.61017542071649,2
500.0,3951.55531138280639,0.66332701295517,2
510.0,3958.45438084081570,0.71619539548187,2
520.0,3965.87985193752775,0.76875397704011,2
530.0,3973.82729775277539,0.82098424429534,2
540.0,3982.29718085666491,0.87286716996268,2
550.0,3991.28327447293896,0.92438118114555,2
560.0,4000.78167755460527,0.97550876482011,2
570.0,4010.79404660014234,1.02623476874126,2
580.0,4021.30725314894016,1.07653965482052,2
590.0,4032.32064874516800,1.12640776328536,2
600.0,4043.83252041590595,1.17582142218937,2
610.0,4055.83841980026955,1.22476938933230,2
620.0,4068.32650829578688,1.27323636048058,2
630.0,4081.29858947637831,1.32120987323168,2
640.0,4094.74976396064130,1.36867791399692,2
650.0,4108.67198292898865,1.41562640797301,2
660.0,4123.05988732329206,1.46204691948689,2
670.0,4137.91054371792870,1.50792416255227,2
680.0,4153.21648210796775,1.55325973726083,2
690.0,4168.97264295925743,1.59803376102839,2
700.0,4185.17557629747262,1.64224657942811,2
710.0,4201.81768787383135,1.68588486675583,2
720.0,4218.89132880498801,1.72894704400561,2
730.0,4236.39672445418819,1.77142646626246,2
740.0,4254.31841760613679,1.81331926093676,2
750.0,4272.65689879323509,1.85461823198698,2
760.0,4291.40754677682526,1.89532177077778,2
770.0,4310.56312166958651,1.93542558885638,2
780.0,4330.11528368195923,1.97492998162677,2
790.0,4350.06074519172034,2.01383147933284,2
800.0,4370.39013976253773,2.05213129561722,2
810.0,4391.10057775827045,2.08982523725500,2
820.0,4412.18447838078555,2.12691604651986,2
830.0,4433.63696640037961,2.16340547019326,2
840.0,4455.45133783569599,2.19929112462426,2
850.0,4477.62041231560033,2.23457399782510,2
860.0,4500.14008936724804,2.26926121765345,2
870.0,4523.00354931848688,2.30335243190593,2
880.0,4546.20527796131228,2.33684987041590,2
890.0,4569.73772782187098,2.36975373826486,2
900.0,4593.59703918875312,2.40207401787888,2
910.0,4617.77767186950678,2.43380843357970,2
920.0,4642.27353520165161,2.46496569865770,2
930.0,4667.07503312503650,2.49554649917530,2
940.0,4692.18384529678042,2.52555936160950,2
950.0,4717.58610152896563,2.55500548016758,2
960.0,4743.27980711617874,2.58389134035822,2
970.0,4769.25988784209767,2.61222386586326,2
980.0,4795.52214615669436,2.64000610574684,2
990.0,4822.05917948617935,2.66724506179456,2
1000.0,4848.86541759154170,2.69394494444463,2
1010.0,4875.93765882923799,2.72011721443259,2
1020.0,4903.26559535218712,2.74576152190179,2
1030.0,4930.84933724817893,2.77088481572310,2
1040.0,4958.68237288193814,2.79549687257738,2
1050.0,4986.75788336675760,2.81960259911135,2
1060.0,5015.07224482341553,2.84320944528961,2
1070.0,5043.62126533530318,2.86632367702465,2
1080.0,5072.39879860296787,2.88894646534384,2
1090.0,5101.39863908978987,2.91109067804852,2
1100.0,5130.61811511493306,2.93276353030960,2
1110.0,5160.05000038331764,2.95396869193304,2
1120.0,5189.69669090207026,2.97471403607456,2
1130.0,5219.54380186065919,2.99500176287546,2
1140.0,5249.59349472251870,3.01484791280360,2
1150.0,5279.83984952840638,3.03424847925104,2
1160.0,5310.27703578818546,3.05321965093504,2
1170.0,5340.90253320220290,3.07176100828462,2
1180.0,5371.71188209188404,3.08988507600462,2
1190.0,5402.69848264293341,3.10759249080851,2
1200.0,5433.86156358030257,3.12489328623676,2
1210.0,5465.19474765398809,3.14179308521925,2
1220.0,5496.69479087137825,3.15829730354346,2
1230.0,5528.35977123949942,3.17441440849742,2
1240.0,5560.18510289961523,3.19014751487968,2
1250.0,5592.16152017666172,3.20550638101898,2
1260.0,5624.29341009432846,3.22049304518948,2
1270.0,5656.57042590768560,3.23512043366848,2
1280.0,5688.99417638876912,3.24938633797315,2
1290.0,5721.55710464152617,3.26330232064631,2
1300.0,5754.25960841073083,3.27687038591773,2
1310.0,5787.09364676229416,3.29010076534400,2
1320.0,5820.05928646565735,3.30299444401225,2
1330.0,5853.15181170469623,3.31556064750098,2
1340.0,5886.36837968740656,3.32780204761066,2
1350.0,5919.70762570190436,3.33972699101563,2
1360.0,5953.16174764156403,3.35133785392812,2
1370.0,5986.73227232345926,3.36263946695421,2
1380.0,6020.41470010188550,3.37364248941985,2
1390.0,6054.20518359818379,3.38434564036077,2
1400.0,6088.10022635771838,3.39475930582418,2
1410.0,6122.09870469892576,3.40488293414258,2
1420.0,6156.19672746379547,3.41472319004338,2
1430.0,6190.39271716512667,3.42429065201300,2
1440.0,6224.68140034956195,3.43358087224838,2
1450.0,6259.06432571365804,3.44260511459411,2
1460.0,6293.53362850483973,3.45136442284710,2
1470.0,6328.08998094298840,3.45986414998049,2
1480.0,6362.72924915371732,3.46811100266795,2
1490.0,6397.45189177114116,3.47610251757010,2
1500.0,6432.25175264689096,3.48385352299138,2
1510.0,6467.12721016390333,3.49135608413961,2
1520.0,6502.07627353943735,3.49862152627589,2
1530.0,6537.09888900729402,3.50565398556076,2
1540.0,6572.18910829426841,3.51245714087246,2
1550.0,6607.34837146451446,3.51903244519567,2
1560.0,6642.56901973299773,3.52538335983167,2
3950.0,6643.40936764140861,-3.52164463906964,1
3960.0,6608.21900526435002,-3.51595537797435,1
3970.0,6573.09160607378362,-3.51005118494759,1
3980.0,6538.02055706115516,-3.50392822702688,1
3990.0,6503.01526381598524,-3.49758142913533,1
4000.0,6468.06964867955594,-3.49100830348815,1
4010.0,6433.19231704505000,-3.48420502554759,1
4020.0,6398.38525267251225,-3.47716677719429,1
4030.0,6363.65017554148380,-3.46989109479061,1
4040.0,6328.98872656756885,-3.46237332589199,1
4050.0,6294.40341561692003,-3.45460953737943,1
4060.0,6259.89702252351617,-3.44659243407931,1
4070.0,6225.47236792564217,-3.43831891534037,1
4080.0,6191.13177178194292,-3.42978794130697,1
4090.0,6156.87761650256107,-3.42099336319955,1
4100.0,6122.71133796349932,-3.41192702331378,1
4110.0,6088.64088736929807,-3.40259080509678,1
4120.0,6054.66301538646076,-3.39297613417847,1
4130.0,6020.78032101677309,-3.38307784533443,1
4140.0,5986.99988080836556,-3.37289244936967,1
4150.0,5953.32463137857576,-3.36241285636451,1
4160.0,5919.75242647537834,-3.35163630840750,1
4170.0,5886.29259204771552,-3.34055485454977,1
4180.0,5852.94511379377309,-3.32916564771757,1
4190.0,5819.71225696970941,-3.31746170666473,1
4200.0,5786.59641581249798,-3.30544148273695,1
4210.0,5753.60292397813646,-3.29309375974851,1
4220.0,5720.73601591886018,-3.28041718355619,1
4230.0,5687.99705973332311,-3.26740261134025,1
4240.0,5655.38873176529887,-3.25404605341995,1
4250.0,5622.91670796013568,-3.24034492816569,1
4260.0,5590.58341275198291,-3.22628727646481,1
4270.0,5558.39139201807211,-3.21187177513575,1
4280.0,5526.34678743078257,-3.19708875992210,1
4290.0,5494.45141732725460,-3.18193209149010,1
4300.0,5462.71000588166316,-3.16639872708534,1
4310.0,5431.12387438410406,-3.15048148759665,1
4320.0,5399.70227672033252,-3.13417226150124,1
4330.0,5368.44221111349179,-3.11746464065734,1
4340.0,5337.35197373883238,-3.10035308085483,1
4350.0,5306.43783270296353,-3.08283114377869,1
4360.0,5275.69517703187103,-3.06489057660833,1
4370.0,5245.14099628770146,-3.04652723611823,1
4380.0,5214.76962638530222,-3.02773068915374,1
4390.0,5184.58532697111968,-3.00849875648139,1
