t,rho,rhodot,elev_deg,station_id,sc_lat_deg,sc_lon_deg,sc_alt_m
0.00000000000000000e+00,4.28199081772558020e+03,-1.87259022414097864e+00,4.83056532909604357e+01,2,2.44044973378856298e+01,3.50732407209612347e+02,3.61199999999999636e+03
1.00000000000000000e+01,4.26347002898223673e+03,-1.83176484921883564e+00,4.88385787315769591e+01,2,2.46001152786831483e+01,3.51026080665179506e+02,3.61200013532466437e+03
2.00000000000000000e+01,4.24535765907183304e+03,-1.79033888414865650e+00,4.93687114461745438e+01,2,2.47949868692083939e+01,3.51320802103206915e+02,3.61200054174764227e+03
3.00000000000000000e+01,4.22766441572123404e+03,-1.74832386849137689e+00,4.98956337730086403e+01,2,2.49891030298205763e+01,3.51616580170769112e+02,3.61200121993530956e+03
4.00000000000000000e+01,4.21039384932407665e+03,-1.70571815765168777e+00,5.04189050224817876e+01,2,2.51824546246260397e+01,3.51913423445420563e+02,3.61200217054445056e+03
5.00000000000000000e+01,4.19355145192766486e+03,-1.66253149435409542e+00,5.09380607824885345e+01,2,2.53750324614885940e+01,3.52211340432151417e+02,3.61200339422212528e+03
6.00000000000000000e+01,4.17714195235681109e+03,-1.61876516453517527e+00,5.14526122786942324e+01,2,2.55668272920658204e+01,3.52510339560269813e+02,3.61200489160552388e+03
7.00000000000000000e+01,4.16117772782303018e+03,-1.57443088899377570e+00,5.19620458059562793e+01,2,2.57578298118720141e+01,3.52810429180211202e+02,3.61200666332186120e+03
8.00000000000000000e+01,4.14565882502714885e+03,-1.52953011414445728e+00,5.24658222494672444e+01,2,2.59480306603689677e+01,3.53111617560274169e+02,3.61200870998820210e+03
9.00000000000000000e+01,4.13058893802074817e+03,-1.48407326306824605e+00,5.29633767167444134e+01,2,2.61374204210850145e+01,3.53413912883281910e+02,3.61201103221134690e+03
1.00000000000000000e+02,4.11597752552998372e+03,-1.43807055826137820e+00,5.34541183042696346e+01,2,2.63259896217632168e+01,3.53717323243170085e+02,3.61201363058769675e+03
1.10000000000000000e+02,4.10182758898450902e+03,-1.39152843929153169e+00,5.39374300253501602e+01,2,2.65137287345398676e+01,3.54021856641499880e+02,3.61201650570311358e+03
1.20000000000000000e+02,4.08814852873564769e+03,-1.34445884109961300e+00,5.44126689285499481e+01,2,2.67006281761536748e+01,3.54327520983896761e+02,3.61201965813279639e+03
1.30000000000000000e+02,4.07494431231381668e+03,-1.29687703868214688e+00,5.48791664387326534e+01,2,2.68866783081868164e+01,3.54634324076414543e+02,3.61202308844111940e+03
1.40000000000000000e+02,4.06221387173076073e+03,-1.24878859593553249e+00,5.53362289552354554e+01,2,2.70718694373386697e+01,3.54942273621825450e+02,3.61202679718154286e+03
1.50000000000000000e+02,4.04996708603371417e+03,-1.20020513878406909e+00,5.57831387437953765e+01,2,2.72561918157328407e+01,3.55251377215834964e+02,3.61203078489643485e+03
1.60000000000000000e+02,4.03821125362032581e+03,-1.15114741674639931e+00,5.62191551603802395e+01,2,2.74396356412587998e+01,3.55561642343223241e+02,3.61203505211697484e+03
1.70000000000000000e+02,4.02694583171467866e+03,-1.10162341773165973e+00,5.66435162458043635e+01,2,2.76221910579486689e+01,3.55873076373911715e+02,3.61203959936298816e+03
1.80000000000000000e+02,4.01618123669901297e+03,-1.05165334915034503e+00,5.70554407296718296e+01,2,2.78038481563901279e+01,3.56185686558957173e+02,3.61204442714284596e+03
1.90000000000000000e+02,4.00591465642966614e+03,-1.00124469556966789e+00,5.74541304804962394e+01,2,2.79845969741763660e+01,3.56499480026471531e+02,3.61204953595331790e+03
2.00000000000000000e+02,3.99615579917164769e+03,-9.50420792153881755e-01,5.78387734354928469e+01,2,2.81644274963941434e+01,3.56814463777469712e+02,3.61205492627943750e+03
2.10000000000000000e+02,3.98691046886010236e+03,-8.99197733409223265e-01,5.82085470382201891e+01,2,2.83433296561504449e+01,3.57130644681645094e+02,3.61206059859438210e+03
2.20000000000000000e+02,3.97817195505475684e+03,-8.47591453274806006e-01,5.85626222046923175e+01,2,2.85212933351391129e+01,3.57448029473074143e+02,3.61206655335934011e+03
2.30000000000000000e+02,3.96995676543114041e+03,-7.95623118587512446e-01,5.89001678285573433e+01,2,2.86983083642479997e+01,3.57766624745850152e+02,3.61207279102337452e+03
2.40000000000000000e+02,3.96226117000800969e+03,-7.43309891816978596e-01,5.92203558233240841e+01,2,2.88743645242077918e+01,3.58086436949647691e+02,3.61207931202330838e+03
2.50000000000000000e+02,3.95509157952363785e+03,-6.90675703826580611e-01,5.95223666843990742e+01,2,2.90494515462832332e+01,3.58407472385218909e+02,3.61208611678358102e+03
2.60000000000000000e+02,3.94845097025666428e+03,-6.37737678055090074e-01,5.98053955360574250e+01,2,2.92235591130078447e+01,3.58729737199822239e+02,3.61209320571614080e+03
2.70000000000000000e+02,3.94233950207674707e+03,-5.84517261901842056e-01,6.00686586087751024e+01,2,2.93966768589627954e+01,3.59053237382585678e+02,3.61210057922029955e+03
2.80000000000000000e+02,3.93675991138754262e+03,-5.31033429306077553e-01,6.03114000712263589e+01,2,2.95687943716010686e+01,3.59377978759805160e+02,3.61210823768261434e+03
2.90000000000000000e+02,3.93171891734538121e+03,-4.77312700257474132e-01,6.05328991195450072e+01,2,2.97399011921177383e+01,3.59703966990180447e+02,3.61211618147677291e+03
3.00000000000000000e+02,3.92721636559391891e+03,-4.23377639658882698e-01,6.07324772052711879e+01,2,2.99099868163670379e+01,3.12075599897111769e-02,3.61212441096344992e+03
3.10000000000000000e+02,3.92325403782805370e+03,-3.69251670611971061e-01,6.09095052640410159e+01,2,3.00790406958275049e+01,3.59705778205002435e-01,3.61213292649019058e+03
3.20000000000000000e+02,3.91983121626933871e+03,-3.14953443087322704e-01,6.10634107909399191e+01,2,3.02470522386156873e+01,6.89466771550206525e-01,3.61214172839130697e+03
3.30000000000000000e+02,3.91695256740095328e+03,-2.60511566625947044e-01,6.11936845969693266e+01,2,3.04140108105494065e+01,1.02049547950401243e+00,3.61215081698773429e+03
3.40000000000000000e+02,3.91461968145140509e+03,-2.05950429029139265e-01,6.12998870755913003e+01,2,3.05799057362616225e+01,1.35279664924992926e+00,3.61216019258689994e+03
3.50000000000000000e+02,3.91283472859718268e+03,-1.51293474618292095e-01,6.13816538098904729e+01,2,3.07447263003652083e+01,1.68637483057610771e+00,3.61216985548264165e+03
3.60000000000000000e+02,3.91159526480974500e+03,-9.65635447391961083e-02,6.14387003602125361e+01,2,3.09084617486700743e+01,2.02123437072716472e+00,3.61217980595505469e+03
3.70000000000000000e+02,3.91090423558564726e+03,-4.17854613573352615e-02,6.14708260893749312e+01,2,3.10711012894530398e+01,2.35737940921107070e+00,3.61219004427039363e+03
3.80000000000000000e+02,3.91076038869781269e+03,1.30115365781170375e-02,6.14779169072895897e+01,2,3.12326340947811296e+01,2.69481387256390414e+00,3.61220057068093956e+03
3.90000000000000000e+02,3.91116216473546638e+03,6.78049349682776359e-02,6.14599468480870001e+01,2,3.13930493018895156e+01,3.03354146907584710e+00,3.61221138542489098e+03
4.00000000000000000e+02,3.91211552547147176e+03,1.22570996378068398e-01,6.14169784290145913e+01,2,3.15523360146143403e+01,3.37356568348114916e+00,3.61222248872625642e+03
4.10000000000000000e+02,3.91361483537215827e+03,1.77287537891860275e-01,6.13491617795108368e+01,2,3.17104833048812758e+01,3.71488977161605849e+00,3.61223388079472716e+03
4.20000000000000000e+02,3.91566185780602382e+03,2.31920962499471889e-01,6.12567325686636011e+01,2,3.18674802142507296e+01,4.05751675504809572e+00,3.61224556182557171e+03
4.30000000000000000e+02,3.91825232338137903e+03,2.86456497920818565e-01,6.11400087974171953e+01,2,3.20233157555199313e+01,4.40144941568033676e+00,3.61225753199951941e+03
4.40000000000000000e+02,3.92139201835911172e+03,3.40866249110780950e-01,6.09993865562275204e+01,2,3.21779789143827131e+01,4.74669029033514800e+00,3.61226979148265309e+03
4.50000000000000000e+02,3.92506889890225330e+03,3.95120901367682575e-01,6.08353348775439997e+01,2,3.23314586511476776e+01,5.09324166532090761e+00,3.61228234042629083e+03
4.60000000000000000e+02,3.92929140752989360e+03,4.49203908487856129e-01,6.06483898341770242e+01,2,3.24837439025148811e+01,5.44110557098669556e+00,3.61229517896689686e+03
4.70000000000000000e+02,3.93405309914156533e+03,5.03086712112925327e-01,6.04391480485434442e+01,2,3.26348235834120572e+01,5.79028377626879021e+00,3.61230830722594692e+03
4.80000000000000000e+02,3.93935310321715406e+03,5.56753505446287655e-01,6.02082597837953415e+01,2,3.27846865888903025e+01,6.14077778323461398e+00,3.61232172530983735e+03
4.90000000000000000e+02,3.94518865564619591e+03,6.10173297291050298e-01,5.99564217863498641e+01,2,3.29333217960800297e+01,6.49258882162790840e+00,3.61233543330978864e+03
5.00000000000000000e+02,3.95155428410198465e+03,6.63326051026627561e-01,5.96843700411889486e+01,2,3.30807180662072469e+01,6.84571784342128975e+00,3.61234943130171268e+03
5.10000000000000000e+02,3.95845242840472611e+03,7.16193286974973975e-01,5.93928725877086094e+01,2,3.32268642466707078e+01,7.20016551738061139e+00,3.61236371934613817e+03
5.20000000000000000e+02,3.96587647322293469e+03,7.68752098004844342e-01,5.90827225262303415e+01,2,3.33717491731800422e+01,7.55593222364729566e+00,3.61237829748809418e+03
