Time(s),Range(km),Range_Rate(km/s),Station_ID
0.0,4281.99081772558,-1.8725902241409784,2
10.0,4263.470028982237,-1.831764849218836,2
20.0,4245.357659071833,-1.7903388841486565,2
30.0,4227.664415721234,-1.7483238684913769,2
40.0,4210.393849324077,-1.7057181576516875,2
50.0,4193.551451927665,-1.6625314943540954,2
60.0,4177.141952356811,-1.6187651645351753,2
70.0,4161.17772782303,-1.5744308889937757,2
80.0,4145.658825027149,-1.5295301141444573,2
90.0,4130.588938020748,-1.484073263068246,2
100.0,4115.977525529984,-1.4380705582613782,2
110.0,4101.827588984509,-1.3915284392915317,2
120.0,4088.148528735648,-1.344458841099613,2
130.0,4074.9443123138167,-1.2968770386821469,2
140.0,4062.2138717307607,-1.2487885959355325,2
150.0,4049.9670860337137,-1.200205138784069,2
160.0,4038.211253620326,-1.1511474167463993,2
170.0,4026.945831714679,-1.1016234177316595,2
180.0,4016.181236699013,-1.051653349150345,2
190.0,4005.9146564296657,-1.0012446955696679,2
200.0,3996.155799171648,-0.9504207921538816,2
210.0,3986.9104688601024,-0.8991977334092232,2
220.0,3978.171955054757,-0.8475914532748061,2
230.0,3969.956765431141,-0.7956231185875123,2
240.0,3962.2611700080097,-0.7433098918169787,2
250.0,3955.0915795236374,-0.6906757038265806,2
260.0,3948.450970256664,-0.6377376780550901,2
270.0,3942.339502076747,-0.5845172619018421,2
280.0,3936.759911387543,-0.5310334293060776,2
290.0,3931.7189173453808,-0.4773127002574741,2
300.0,3927.2163655939194,-0.42337763965888264,2
310.0,3923.2540378280537,-0.3692516706119711,2
320.0,3919.8312162693383,-0.3149534430873227,2
330.0,3916.952567400953,-0.26051156662594704,2
340.0,3914.6196814514046,-0.2059504290291393,2
350.0,3912.834728597183,-0.15129347461829207,2
360.0,3911.595264809745,-0.0965635447391961,2
370.0,3910.9042355856473,-0.04178546135733526,2
380.0,3910.7603886978127,0.013011536578117036,2
390.0,3911.1621647354655,0.06780493496827764,2
400.0,3912.115525471472,0.1225709963780684,2
410.0,3913.6148353721583,0.17728753789186028,2
420.0,3915.661857806024,0.2319209624994719,2
430.0,3918.252323381379,0.28645649792081856,2
440.0,3921.392018359112,0.3408662491107809,2
450.0,3925.068898902253,0.3951209013676826,2
460.0,3929.2914075298936,0.4492039084878561,2
470.0,3934.053099141565,0.5030867121129253,2
480.0,3939.3531032171536,0.5567535054462877,2
490.0,3945.188655646196,0.6101732972910503,2
500.0,3951.5542841019846,0.6633260510266276,2
510.0,3958.4524284047266,0.716193286974974,2
520.0,3965.876473222935,0.7687520980048443,2
530.0,3973.8261927475273,0.820981606012783,2
540.0,3982.295574362332,0.8728639450193642,2
550.0,3991.2820729324008,0.9243792507642867,2
560.0,4000.782215077684,0.9755091493984467,2
570.0,4010.790474727433,1.0262323069192127,2
580.0,4021.304247563353,1.0765391075013129,2
590.0,4032.3211152129206,1.1264063959201291,2
600.0,4043.8321058214447,1.1758207225081103,2
610.0,4055.8361483866006,1.2247690614971247,2
620.0,4068.327162413855,1.2732371223163816,2
630.0,4081.2991079061408,1.3212093449907298,2
640.0,4094.7500201865937,1.3686768341840378,2
650.0,4108.670857258624,1.4156241945084076,2
660.0,4123.058939187853,1.4620449130049091,2
670.0,4137.909222601083,1.5079243680921763,2
680.0,4153.216570762741,1.5532558628573523,2
690.0,4168.972894669028,1.5980314261716937,2
700.0,4185.175232650543,1.64224447289275,2
710.0,4201.814551580977,1.6858856413732664,2
720.0,4218.890618657631,1.7289456844765991,2
730.0,4236.39161526056,1.7714257530429787,2
740.0,4254.317520188064,1.8133182031272,2
750.0,4272.65827185467,1.8546137802975184,2
760.0,4291.408587923557,1.8953182754770488,2
770.0,4310.562280462292,1.93542451957828,2
780.0,4330.113796874973,1.9749285677779904,2
790.0,4350.059375050187,2.0138286558578327,2
800.0,4370.387616019643,2.0521308570249244,2
810.0,4391.099420179544,2.0898249811715814,2
820.0,4412.181513870333,2.12691503984566,2
830.0,4433.6354933192015,2.1634045929488326,2
840.0,4455.448332827656,2.199289739584377,2
850.0,4477.616824301351,2.2345750414553285,2
860.0,4500.13930881309,2.2692603695481783,2
870.0,4523.00234493989,2.3033492660303185,2
880.0,4546.204646651978,2.336846499237362,2
890.0,4569.737154661456,2.3697521778440014,2
900.0,4593.596505597032,2.4020720391542087,2
910.0,4617.779460955391,2.4338047387939308,2
920.0,4642.272252826126,2.4649636741383887,2
930.0,4667.076511052832,2.495543354751609,2
940.0,4692.180229021228,2.525557621216574,2
950.0,4717.584625873565,2.5550021652233763,2
960.0,4743.280113206015,2.583891319285136,2
970.0,4769.259725857352,2.612224042182236,2
980.0,4795.519966557497,2.6400051819048,2
990.0,4822.056794766428,2.66724268619647,2
1000.0,4848.863722154471,2.6939461970825693,2
1010.0,4875.9342413720815,2.7201155523008476,2
1020.0,4903.264475815176,2.745757944026847,2
1030.0,4930.846896901573,2.770883508662429,2
1040.0,4958.681296044333,2.795497393971204,2
1050.0,4986.757369775715,2.819602280318324,2
1060.0,5015.070070405076,2.843209008832339,2
1070.0,5043.617902992937,2.8663209305912245,2
1080.0,5072.396179041541,2.888945101425283,2
1090.0,5101.398417871667,2.911090359728992,2
1100.0,5130.616683382731,2.93276278411756,2
1110.0,5160.050323927378,2.953968923106628,2
1120.0,5189.694530493377,2.974713254780323,2
1130.0,5219.545134383869,2.995001589397654,2
1140.0,5249.5931371533325,3.0148455204145983,2
