Time(s),Range(m),Range_Rate(m/s),Station_ID
0.0,3804667.985855,-1050.874546927,337
20.0,3785734.353535,-841.84238237,337
40.0,3771017.732122,-629.297670376,337
60.0,3760580.809039,-414.001756791,337
80.0,3754470.7276,-196.752298222,337
100.0,3752718.151028,21.609829087,337
120.0,3755336.8931,240.237277098,337
140.0,3762323.648707,458.270512157,337
160.0,3773658.144225,674.867515792,337
180.0,3789303.336338,889.211267983,337
200.0,3809206.361295,1100.524806706,337
220.0,3833299.21483,1308.07717622,337
3420.0,3846359.027979,-4914.773082458,101
3440.0,3749013.1853,-4818.163301114,101
3460.0,3653701.035366,-4711.270419069,101
3480.0,3560636.330734,-4593.282811698,101
3500.0,3470049.414648,-4463.348333843,101
3520.0,3382187.917079,-4320.590514534,101
3540.0,3297317.189614,-4164.120405177,101
3560.0,3215720.348328,-3993.061897479,101
3580.0,3137697.621279,-3806.571032488,101
3600.0,3063565.564944,-3603.878644487,101
3620.0,2993654.894804,-3384.335243558,101
3640.0,2928307.786965,-3147.454970876,101
3660.0,2867874.153657,-2892.968075118,101
3680.0,2812706.359368,-2620.897958449,101
3700.0,2763153.139538,-2331.602821804,101
3720.0,2719552.216507,-2025.832014896,101
3740.0,2682221.911095,-1704.772407931,101
3760.0,2651452.344689,-1370.068991704,101
3780.0,2627496.220135,-1023.811423093,101
3800.0,2610560.249464,-668.5065174,101
3820.0,2600797.38419,-306.995767829,101
3840.0,2598301.135968,57.622723408,101
3860.0,2603101.60311,422.139700908,101
3880.0,2615164.566049,783.345742327,101
3900.0,2634392.850491,1138.175595613,101
3920.0,2660630.373336,1483.830482305,101
3940.0,2693668.446716,1817.856945145,101
3960.0,2733253.487717,2138.223920325,101
3980.0,2779095.686871,2443.348457433,101
4000.0,2830878.155918,2732.101959147,101
4020.0,2888265.855814,3003.782318119,101
4040.0,2950913.45768,3258.070841478,101
4060.0,3018472.84599,3494.985021689,101
4080.0,3090598.882705,3714.806596937,101
4100.0,3166954.47206,3918.035705681,101
4120.0,3247214.070581,4105.330825352,101
4140.0,3331066.488364,4277.452990519,101
4160.0,3418216.552582,4435.238322883,101
4180.0,3508386.145286,4579.550447297,101
4200.0,3601314.599768,4711.264556042,101
4220.0,3696758.558995,4831.245698352,101
4240.0,3794491.724471,4940.321639467,101
4720.0,3757019.329875,-4897.081708597,394
4740.0,3660013.447749,-4801.930902188,394
4760.0,3565007.764913,-4696.930639814,394
4780.0,3472207.13335,-4581.291315851,394
4800.0,3381832.641455,-4454.171669641,394
4820.0,3294122.502715,-4314.707785784,394
4840.0,3209332.499886,-4162.013065242,394
4860.0,3127736.13283,-3995.201269776,394
4880.0,3049624.273645,-3813.422418452,394
4900.0,2975304.365813,-3615.879288123,394
4920.0,2905098.726769,-3401.892698967,394
4940.0,2839341.94328,-3170.922315269,394
4960.0,2778377.32341,-2922.640854709,394
4980.0,2722552.082423,-2656.999132045,394
5000.0,2672211.292894,-2374.274579977,394
5020.0,2627690.705113,-2075.127466422,394
